Country/Region,US,,,,,,
Date,Confirmed Cases,,,,,Time,Avg Daily Confirmed Cases
1/23/2020,0,,,,,Jan-20,0.777777778
1/24/2020,1,,,,,Feb-20,0.586206897
1/25/2020,0,,,,,Mar-20,6202.451613
1/26/2020,3,,,,,Apr-20,29626.8
1/27/2020,0,,,,,May-20,23151.22581
1/28/2020,0,,,,,Jun-20,28114.66667
1/29/2020,1,,,,,Jul-20,62104.22581
1/30/2020,0,,,,,Aug-20,47080.06452
1/31/2020,2,,,,,Sep-20,40285.06667
2/1/2020,0,,,,,Oct-20,62267.35484
2/2/2020,0,,,,,Nov-20,150163.7333
2/3/2020,3,,,,,Dec-20,207404.7097
2/4/2020,0,,,,,Jan-21,198358
2/5/2020,0,,,,,Feb-21,85789.14286
2/6/2020,1,,,,,Mar-21,58505.74194
2/7/2020,0,,,,,Apr-21,62858.16667
2/8/2020,0,,,,,May-21,29571.96774
2/9/2020,0,,,,,Jun-21,13245.93333
2/10/2020,0,,,,,,
2/11/2020,1,,,,,,
2/12/2020,0,,,,,,
2/13/2020,1,,,,,,
2/14/2020,0,,,,,,
2/15/2020,0,,,,,,
2/16/2020,0,,,,,,
2/17/2020,0,,,,,,
2/18/2020,0,,,,,,
2/19/2020,0,,,,,,
2/20/2020,0,,,,,,
2/21/2020,2,,,,,,
2/22/2020,0,,,,,,
2/23/2020,0,,,,,,
2/24/2020,0,,,,,,
2/25/2020,0,,,,,,
2/26/2020,0,,,,,,
2/27/2020,1,,,,,,
2/28/2020,0,,,,,,
2/29/2020,8,,,,,,
3/1/2020,7,,6202.451613,,,,
3/2/2020,23,,,,,,
3/3/2020,19,,,,,,
3/4/2020,33,,,,,,
3/5/2020,77,,,,,,
3/6/2020,53,,,,,,
3/7/2020,166,,,,,,
3/8/2020,116,,,,,,
3/9/2020,75,,,,,,
3/10/2020,188,,,,,,
3/11/2020,365,,,,,,
3/12/2020,439,,,,,,
3/13/2020,633,,,,,,
3/14/2020,759,,,,,,
3/15/2020,234,,,,,,
3/16/2020,1467,,,,,,
3/17/2020,1833,,,,,,
3/18/2020,2657,,,,,,
